adjust	percent	cross_entropy
None	0	8.186698000982467
decrease	0	8.332832630415261
decrease	10	8.266643072912395
decrease	20	8.24358283155592
decrease	30	8.228356924682611
decrease	40	8.217179487388263
decrease	50	8.208597917092453
decrease	60	8.201871725452579
decrease	70	8.19656283935652
decrease	80	8.192386701053126
decrease	90	8.189146156458012
increase	10	8.19446570988373
increase	20	8.241476848229434
increase	30	8.315116029209609
increase	40	8.413749776320872
increase	50	8.540519210945089
increase	60	8.703398056623906
increase	70	8.918703665383989
increase	80	9.223001956036613
increase	90	9.726770982214562
increase	95	10.194910527263477
increase	99	11.110476383670216
