adjust	percent	cross_entropy
None	0	4.491329056400457
decrease	0	4.568829794153312
decrease	10	4.54402862304238
decrease	20	4.529785491820129
decrease	30	4.519651532316381
decrease	40	4.511998808675542
decrease	50	4.506066147556345
decrease	60	4.501420533986748
decrease	70	4.497787030290112
decrease	80	4.494978054719012
decrease	90	4.492858904535082
increase	10	4.509311167203315
increase	20	4.568905972643181
increase	30	4.655719857476449
increase	40	4.768291987501228
increase	50	4.910251627814453
increase	60	5.090335402780204
increase	70	5.326192101639765
increase	80	5.657284556840392
increase	90	6.20345759083756
increase	95	6.712417466913156
increase	99	7.722073780922301
