	v	.	:	s	praha	(	,	)	-	na	byl	české	včera	i	o	k	se	a	zákona	do	jeho	který	od	ve	po	že	""""	aby	bude	j	z	při	ze	ale	to	pro	privatizace	podle	by	být	mezi	čsfr	jsou	budou	co	už	za	listopadu	státu	je	pouze	které	nás	u	první	musí	?	nato	před	bylo	si	však	jak	jako	&slash;	okd
v		0.9500554015408601	0.46797914863452117	0.5123862229874612	0.4146226974234407	0.4923620797960546	0.974765309892407	0.47187208959407356	0.5370712146409824	0.6509000164510876	0.417716487008265	0.41643081073220645	0.430269652458628	0.47137782781213017	0.5862851427813234	0.4704350251161204	0.5863322760656753	0.6985551056623687	0.41618764481366716	0.4838251774866757	0.4208137168055981	0.40951660735089823	0.4390404446318656	0.46382928825783665	0.4500809419812478	0.4875581398132416	0.52430591844178	0.41613504145643293	0.4182926245813092	0.40766549685650344	0.4931405719981886	0.4372944817935623	0.43099170634318584	0.4165763170921447	0.4470917653711225	0.4459026979701698	0.40256497725833007	0.4287950245445609	0.45790033457330226	0.41471719966517356	0.42550032145375305	0.4201094966327996	0.4189165846777982	0.4220677913384324	0.4083699267368491	0.41631652190552304	0.4374385360353158	0.4090494333966882	0.40804520190283955	0.46661996494288827	0.41564219694053134	0.41381696778730803	0.408363768056285	0.4298462386503258	0.4080963503235385	0.41216665917148676	0.41832331729859334	0.4090077067903619	0.4326530206662862	0.41500829745279116	0.4151208779001329	0.414293369621919	0.40889448817347496	0.4211866797706324	0.4116782026481185	0.40356293619705375
.	0.9500554015408601		0.7763804529488882	0.7889723631585823	0.7084681940928212	0.7870766154033979	1.2662849523232094	0.7612877603662025	0.8458401822364274	0.8973431362210647	0.7202179501392567	0.706670804953964	0.7234987779098676	0.7625508141733702	0.8527486090847675	0.7486046431415629	0.8802199874702489	0.9798845412014243	0.7123898259224904	0.7619164994185208	0.7121550864457795	0.7016770343583931	0.7266079533949503	0.7414928266228805	0.7409543325294279	0.770224283567849	0.8011083359343685	0.7063138295106999	0.713442353092793	0.6948043582554734	0.7791765124105555	0.7227188687529978	0.718690090992149	0.714878231756241	0.7297776682224937	0.7327415840068348	0.6994725713804241	0.7103129715796314	0.7427055190078586	0.7184396312592797	0.7123947558876991	0.714960414909013	0.7141278393767274	0.716937305208763	0.6974348566919322	0.7140471006567831	0.7312780090940356	0.7045244933580772	0.7103100386143607	0.7624900197859905	0.7219432285000548	0.7121058712163191	0.7040871121873031	0.7235184467880306	0.7043254411804893	0.7090970064289327	0.7242016328279645	0.7111944936888634	0.7193306543735514	0.7097514326742915	0.7151632562020995	0.7138390251277784	0.6991788411227702	0.7207173630077018	0.7021678157777873	0.6978045796432557
:	0.46797914863452117	0.7763804529488882		0.25266510852603213	0.13923310814365508	0.2329188077280404	0.7858656106732733	0.21674361431002087	0.3011139753614057	0.39671497133279193	0.14975170827313194	0.14109936089981195	0.161590667565718	0.21388605238969638	0.3316308180533386	0.20077753384452546	0.3527701548672838	0.47348557946944225	0.14826847134329302	0.22101126866264437	0.14756778581050387	0.13953046778965017	0.16731051833480365	0.1918343592284407	0.1805572095131123	0.2286894895738868	0.2661390603127982	0.1450188823682307	0.14777620161317695	0.13076896880881775	0.23444123809418632	0.164117231880141	0.1583952508052704	0.15092964027386058	0.1755760736129486	0.17395564786500722	0.1334815203207436	0.15258068053100096	0.195981495455153	0.15223677976461436	0.15062965530387623	0.15324100117737843	0.1473228684307384	0.15124229068432937	0.1344527296444672	0.14661383574970754	0.17486831949764725	0.136083645244985	0.14338141809124427	0.20881975320261864	0.1507279673909066	0.147026583835256	0.14037394128697944	0.16340177002118617	0.13598268817497228	0.14290047706825545	0.15173655024853203	0.14145103513919485	0.1591864894894942	0.1463312579449632	0.14720126395750258	0.14677767698742322	0.13505453170328516	0.1533909016531651	0.14080336155793094	0.13140966898925924
s	0.5123862229874612	0.7889723631585823	0.25266510852603213		0.18565139551745385	0.2767817720447192	0.8121563210024998	0.2587215165134209	0.3360330865800948	0.43683789372490656	0.19631496867542403	0.18780052792849644	0.20338634562427235	0.2533891839414455	0.37363921442885617	0.2491315646258835	0.3862803838946577	0.5131739791721356	0.19370733480625768	0.2648327746318765	0.1927419374171933	0.1886315201219089	0.21208379502043445	0.23837879727375028	0.22419368629775882	0.28397325044442334	0.3159404336240605	0.1931986961213027	0.19225201386377505	0.18341070625690203	0.2794006227478808	0.21057418494363983	0.20467391898397447	0.19832438256286045	0.21882257113260944	0.22084093748353797	0.1793662831297557	0.20105935857396398	0.23782262652521716	0.19052975003522493	0.20193954100112843	0.1985494488976398	0.19222168474910706	0.19761472600950608	0.1846365882169207	0.19070348902576384	0.21467562014098018	0.1840541674891314	0.18597730646554184	0.24787017679663514	0.1904379339204831	0.19503769042707453	0.18527536943695588	0.20931283662272604	0.18014381778225275	0.18777037166356897	0.19522416422238711	0.1844983283878066	0.20916955228831324	0.1895561836349152	0.19126218689674396	0.19016789816050444	0.1814621120249923	0.1992021053309504	0.18819880900849384	0.17901375966546468
praha	0.4146226974234407	0.7084681940928212	0.13923310814365508	0.18565139551745385		0.16164203431983531	0.7213196630363363	0.1619300631855417	0.22546346155352132	0.33534020274410026	0.075521437302377	0.0663213856558322	0.08694456366883502	0.14513471369561412	0.26696397417779727	0.1313604122404085	0.28823508199858616	0.41316120289971403	0.07455316842629728	0.15368349019679559	0.07431493668222228	0.06723159217322175	0.09525270577501495	0.12108103175767018	0.10888506540492297	0.15479247852914046	0.20764641486659502	0.07153805101222876	0.07331626451018952	0.056779329122567085	0.16304762483019955	0.0911971197040172	0.08501682923577916	0.07677045243071877	0.10976561085117138	0.10399268845348938	0.05929069543285627	0.08631209752684776	0.12686050419838535	0.07195812300940864	0.07676633548033027	0.0817731055949857	0.07293585753347258	0.07643075065177185	0.0607161395832064	0.07136385336108153	0.10045112112737747	0.06191638285754874	0.06540045376054415	0.13550271711380205	0.0712938163514176	0.07271535887000376	0.06444350558749222	0.09017253085636022	0.05996528069836907	0.0681225018242757	0.07640222726121833	0.06656899221567716	0.08580806792000298	0.07011797138087997	0.07186589323671508	0.07196613695486569	0.06141332108259924	0.07977822166530937	0.06760350940848082	0.0575198200294291
(	0.4923620797960546	0.7870766154033979	0.2329188077280404	0.2767817720447192	0.16164203431983531		0.819118606716734	0.23747657696018776	0.33724382887019083	0.4130296520434935	0.18097410230324673	0.16632257694579622	0.1853206786972102	0.23461374245380712	0.35254397577022495	0.22355854254363983	0.3738803603149584	0.4925891253743916	0.1727667640272952	0.24467714696001977	0.1724453243974605	0.16451908517879185	0.19192665192309125	0.2161829358163222	0.20379713062196178	0.24391836026686997	0.2943096977801877	0.17187949973091707	0.17205266980605444	0.15594482423572442	0.2541491861587275	0.18823820579907943	0.18269727262458257	0.17759009516553778	0.20069103029386126	0.19918786286630386	0.15884324284962476	0.1789480856342251	0.21833992879543845	0.17158955751072685	0.17600301880520502	0.180415650333566	0.1710267583187499	0.17581524487889738	0.15952729715550681	0.17270703571304913	0.19436059643681086	0.16140488228685201	0.16399101402549568	0.22687108145147294	0.17031624329281242	0.17027906648038588	0.16268897542603536	0.18687569593972386	0.15977905782945004	0.166848865408462	0.17679993978623293	0.16378828005546076	0.18646191368373694	0.16884433496506623	0.17134362976284756	0.17036381342634596	0.1585457740447358	0.17665506928115626	0.1669527474185211	0.15800771204274366
,	0.974765309892407	1.2662849523232094	0.7858656106732733	0.8121563210024998	0.7213196630363363	0.819118606716734		0.7844586405772551	0.8802449927543714	0.9161039439153544	0.7363243991342519	0.7260441909226709	0.737739762416372	0.7701143526635679	0.8677165371674613	0.769394746737365	0.8966383263852911	1.010051984289799	0.733341764410627	0.7838530774133129	0.7296281514563616	0.7160412766670368	0.7424861301070772	0.7635623985336164	0.7579480077422622	0.7607334786532971	0.8068595962204453	0.7176045166364057	0.7279660417397842	0.7141933944711452	0.7938536991581248	0.7447452929123383	0.7388003768940251	0.7257337617261629	0.7414073098933299	0.751060607455007	0.7166091546642888	0.7301148138827658	0.7796139000640443	0.732457340995385	0.7344689295111211	0.7358589436537846	0.7321759222129927	0.7355920359897079	0.7138562439583527	0.7274174415237125	0.7502798421701367	0.7160555653226435	0.7222157789635197	0.7789008732920462	0.7288852468790326	0.7158577195460382	0.7193903590741418	0.742508863308144	0.7203661469467209	0.727180145838713	0.7343140655533624	0.7304947718851068	0.740556612261918	0.7312804503169512	0.7307768424973192	0.7309927119255151	0.7176791879596983	0.7340307296568164	0.7335065707768043	0.7117512211978728
)	0.47187208959407356	0.7612877603662025	0.21674361431002087	0.2587215165134209	0.1619300631855417	0.23747657696018776	0.7844586405772551		0.29382134843155194	0.395398861854713	0.15708543496272775	0.14807725914390785	0.17386370891616806	0.2161046770643909	0.3340884223040437	0.20552320624771264	0.3540464927083015	0.47375046031877766	0.1553892572879173	0.22718463387120225	0.15503035321251052	0.14533216258083914	0.17175018150669946	0.19811351248624062	0.1868919176444312	0.22551333872186818	0.284452196686824	0.15156194407617418	0.15385615172087275	0.14468184571074694	0.2382724059948596	0.17074076555281079	0.16521637989859744	0.15613211220434456	0.18894403164170837	0.1809201681669455	0.15412515736137733	0.16198892518458902	0.2025533011460668	0.1532743949030446	0.15765542778999156	0.16582057053177648	0.15593433145172964	0.15762478273432523	0.14212957005644844	0.15225294567074282	0.17720169647327547	0.14709714702457924	0.1509004407244238	0.21139670014627457	0.15250161605509083	0.15135212616793392	0.1489463192615138	0.1691222912230591	0.14225415329486607	0.1491306727032708	0.15693685391532847	0.1520080219235593	0.16600761858282126	0.152471694526534	0.1547484195863236	0.15279975624093473	0.14209736613940432	0.15851671705336245	0.15722283811764792	0.1435135180158908
-	0.5370712146409824	0.8458401822364274	0.3011139753614057	0.3360330865800948	0.22546346155352132	0.33724382887019083	0.8802449927543714	0.29382134843155194		0.4681287252049514	0.24543183733187102	0.22847038380278673	0.2450435610839183	0.2944438783617832	0.4071800774689671	0.28266189212537296	0.4274414003514343	0.5559000601104813	0.23737583979233118	0.3038992832712649	0.23400607611468527	0.23550534714375687	0.25045322691134153	0.28242804925433984	0.2644275161262487	0.32887132959201193	0.35189258213079144	0.2370082033875349	0.2340593424778159	0.21792272843079666	0.31441257215337526	0.252681026527151	0.24448195487319885	0.25111086879023686	0.2632912037472802	0.2580393961479742	0.22299186145552527	0.23866773844949662	0.28229802716023916	0.23779798876163752	0.2371154533420904	0.24178969709780374	0.23737380112757778	0.2373505852962997	0.22415144399178522	0.23347039311154955	0.2571340477188504	0.22180814457596948	0.22786889859068798	0.2997825046450651	0.23529626322410052	0.23844078324394286	0.22550542317935446	0.2491056354077223	0.22235809515638608	0.23015307739368623	0.23931805412991025	0.22770414068087175	0.24527319355742266	0.2319874171227773	0.23431022063212853	0.23625120455202858	0.22335023873380488	0.24043665167515754	0.22857044401504767	0.22355233194155882
na	0.6509000164510876	0.8973431362210647	0.39671497133279193	0.43683789372490656	0.33534020274410026	0.4130296520434935	0.9161039439153544	0.395398861854713	0.4681287252049514		0.34071460000390225	0.33357747294352036	0.3477192639868674	0.39613424571788647	0.5100629085132606	0.38920309080944065	0.5259099623021157	0.6356889715330226	0.3379034827309818	0.40371204577809583	0.3383012126940575	0.328180163221705	0.35673551752129096	0.3822633704093372	0.36879554351177524	0.4049098056774796	0.4510570982744714	0.3329641017305788	0.3388165229996656	0.3253587408162615	0.41798891948674544	0.3530427781344946	0.34980312839011857	0.33647856586576896	0.36257919664308486	0.3688950113880172	0.3220295707667593	0.3504223260598165	0.3820003930140296	0.33784766191274185	0.34266713547992356	0.3412246736827996	0.33697684904930725	0.34178350549520353	0.32600151311763503	0.33933860506376545	0.36038483370960994	0.32915999539104257	0.3293348389886491	0.3890367214077803	0.3366908037764782	0.33585096278616156	0.3308687624285281	0.35355988308669717	0.3288112917279804	0.3334680323509683	0.34013396383111016	0.3307995209292653	0.3494042997199041	0.33656680693394647	0.33668745472600103	0.33745350369788696	0.3261394538079282	0.341965999006584	0.3309113652021334	0.32277728040922776
