	when	on	.	as	,	i	much	with	certain	facts	in	the	of	and	to	that	these	will	be	this	some	species	it	has	been	by	one	our	my	me	all	which	could	have	any	subject	short	;	a	:	from	same	may	for	not	is	(	)	nearly	but	many	more	do	at	would	must	cannot	several	no	can	only	most	cases	than	often	each	very	their	other	such	varieties	even	if	how	so	structure	conditions	variation	we	shall	see	its	under	case	distinct	or	domesticated	animals	plants	they	what	great	slight	variability	state	nature	long	are	individuals	there	manner	less	character	an	believe	differ	different	domestic	races	whether	between	wild	breeds
when		0.16468066224654954	0.38917777557604877	0.18825853782039048	0.6331082588564729	0.2095731710599536	0.0992505927021122	0.14382195078990892	0.07761495905698408	0.08371433300489256	0.3533987748306626	0.6393374073337733	0.5779044153879276	0.3889472125153123	0.36426098389202843	0.23616151521832968	0.09480433520758932	0.10450039139845768	0.22334440753503276	0.1566888455359332	0.12249571348351337	0.1250195932442071	0.1655710357300193	0.1489436278710407	0.15941307564395785	0.16913054066488364	0.10658753707044985	0.12225564057695054	0.09396341930128896	0.08454676446838122	0.10395236858926943	0.1614398174982715	0.09835136728600483	0.195860805469202	0.09375923268345299	0.0755986634968665	0.0810129281531235	0.22385105276095357	0.22947075091640043	0.09666939995420999	0.18953075904009425	0.12882157183039838	0.10833763349874719	0.13443403059579662	0.1286819317593229	0.1859768194384545	0.08269728266075224	0.08827267858145495	0.08476185954740184	0.11487249864959076	0.1115309663476385	0.11243650086497858	0.0840562588090393	0.12098659480315566	0.10339232563990228	0.08545446382758516	0.08027889915876611	0.11574728641882606	0.08966302750565844	0.09937605156701636	0.08087793340732591	0.09077676958976999	0.07876279603104167	0.08255188451760502	0.09016607226694986	0.09327806607256181	0.09047216752365182	0.1205996180919813	0.10568082288450834	0.08374576412750889	0.08778541979894317	0.08458333862791992	0.1008898273417331	0.08984564111783458	0.10136022605012138	0.07185504240791474	0.09714256634235639	0.08170518400921137	0.13698324361295	0.08651046947304243	0.08431708412277472	0.09196784367921709	0.1350626233586149	0.07153676486123052	0.08410280956047952	0.17471867520587395	0.08793153105461038	0.09866383855933077	0.09566788706532121	0.10842039193175863	0.07945432405039221	0.08475323439020485	0.0797618070921694	0.07374211798235003	0.07975781459501705	0.0812966244670558	0.10243475226343451	0.18027183400940047	0.08216049591557173	0.08807288983743432	0.07802736048450368	0.0791092595564862	0.075720234023586	0.10304366614143826	0.08230469497471007	0.0808781011002258	0.08934331762525309	0.12294676035156707	0.09050033309674012	0.086515841695264	0.09267989395570264	0.09796618936274165	0.09293013340957612
on	0.16468066224654954		0.42673723362315297	0.2287254265378118	0.662089678772105	0.2515887602584912	0.152611683376877	0.20117954451872178	0.1263024640233349	0.137073273848933	0.41843944183080495	0.6633129855651654	0.6389427851021161	0.43713761100330717	0.4252009277376837	0.27997279766220434	0.14273706016039256	0.151203435414785	0.26875548358141654	0.1942324317836876	0.166149016162132	0.1687835941802419	0.2063485204271397	0.19750485697570336	0.21753803316633505	0.22515138240629046	0.15202613278165855	0.16768219811724214	0.14170497793264153	0.1345064294880367	0.16327292678197325	0.2010375094297544	0.14339270122978828	0.23442894729999106	0.14467602731357398	0.1238720459827575	0.12974641781072	0.26548538203709576	0.2748324170388964	0.14643642339875435	0.2439571999540942	0.17427791080327254	0.1535373274971469	0.19179180105658641	0.18566392236111443	0.22992239385812213	0.13193602229940823	0.13432795754760748	0.1408126405277234	0.17860403348305062	0.15721526885905596	0.16385924572606791	0.14229294628324807	0.18074411360972242	0.14790539124546626	0.13430044428937082	0.12794096646399278	0.16313013553526878	0.13778676467765566	0.14562073165573153	0.13788398652903355	0.13908150620856055	0.1307207833707027	0.13775587018149266	0.1404415250284474	0.1397077179922945	0.14105815978208885	0.1671962612393046	0.15111046680213888	0.1314404691660213	0.13499776502960864	0.1408844347614166	0.14158549538706017	0.14192970907731173	0.14866781273815363	0.11930248297491831	0.14300383785153362	0.13188232552384488	0.18382272239919356	0.13471110305875755	0.1365941233612772	0.14014327484511532	0.19084104573032648	0.1195197655207933	0.13260482790359548	0.21692819893729862	0.13729512229480736	0.14823878062359525	0.13792045032088224	0.1546835750547283	0.13399407959916043	0.13284943512526065	0.12854317396750387	0.12222937420342136	0.12844191841849883	0.12893987846864408	0.15082733194227838	0.22434588831715258	0.12855420054409375	0.1332317618469051	0.1278344841210639	0.13136546285412531	0.1239028919327533	0.15049099382465825	0.13376743322781276	0.1268131993456887	0.13799513307606787	0.16935545496804638	0.1409680829201758	0.1327828698606354	0.1503594829267215	0.14536486427196504	0.14314102997979639
.	0.38917777557604877	0.42673723362315297		0.45394860093160905	0.961016554959962	0.4296201737280076	0.3752535024038608	0.40142771827476975	0.34935683232761827	0.36181802104625427	0.588180255346409	0.8018967910544705	0.8365384577334194	0.6174156767859362	0.6052899931867466	0.5115184841576562	0.3664496591574842	0.3686987432810066	0.4600381496734374	0.3966788205784413	0.3744115595338485	0.384200004948703	0.39926538217277086	0.42067837711249506	0.4164966705217614	0.43162447692428096	0.36809102370089775	0.3862532907330969	0.36349672296889496	0.36258588456682533	0.37312531414727856	0.43221696822582456	0.3675846352815014	0.4661972150746712	0.3565415141179865	0.34527726327720587	0.35186697344159	0.5312409356006309	0.46157735591286675	0.3755351190285493	0.4514936201524823	0.386831970928688	0.3701981993807081	0.41314139832825325	0.3918070007350548	0.45398726429141234	0.3704457668686527	0.3588936661500165	0.358670370461336	0.3885726930420994	0.3657963321554193	0.37545910470160065	0.3654218939865632	0.38696138250942125	0.371466429431066	0.3564639778161716	0.35103576392818453	0.37776945963859615	0.35539258194326917	0.3655784515052659	0.36195570946143907	0.35864009579098044	0.36136973316297893	0.3729624078608127	0.3593245248715672	0.3587628911159407	0.3628817985540329	0.37900891563328865	0.3721800225735291	0.35256192820515164	0.3608878098011882	0.362040776016562	0.35916362744352887	0.36767200379258036	0.36937203738177393	0.34019728665942084	0.3604498928352022	0.3486636221355176	0.3842968220927879	0.3578683106841809	0.36681542741055073	0.3609495546229895	0.41162466770727635	0.34221536214499165	0.3565295637977737	0.4451158426760419	0.360867903980579	0.3671956971025593	0.35937372405433193	0.36355259353655706	0.3639924106957615	0.3531040586324339	0.35137855022397146	0.3516991678387864	0.35167795299847193	0.3437807200183708	0.3662507824434079	0.44452871215370854	0.347654534186998	0.3484476154512215	0.3509334355255571	0.35348842686458615	0.3454038828010165	0.3709473468197745	0.3598813374376123	0.36295387453554906	0.361052377644288	0.3822187943271211	0.35523596141548897	0.3574103654518029	0.36633448023049797	0.3634765333688738	0.35817859176005823
as	0.18825853782039048	0.2287254265378118	0.45394860093160905		0.6612503012400569	0.27125858000113756	0.17072045204872757	0.21335222398407902	0.13785335594192782	0.149576246547364	0.41846046772747625	0.6711449677881031	0.6307704084130662	0.4582945953531299	0.4165362202743151	0.3035504957293441	0.15622767918281638	0.17139463217571194	0.2761643413969549	0.2179420062817726	0.18572594140222826	0.17830279750809724	0.24033313524431943	0.215948683739202	0.2136177953359444	0.235161843139433	0.17180343052390665	0.1771630089558363	0.1518636812515725	0.147551872892683	0.17701207768073846	0.23782496023302827	0.16867839447592853	0.25257980081139086	0.16649059129961696	0.13635604388377212	0.14134594361140496	0.2702368967840124	0.28526635160765557	0.15735414665003694	0.25539805030669716	0.1825769506774898	0.175045907037189	0.2115695411421467	0.18438089326883367	0.25364332344403073	0.14782859795789582	0.14499188097690352	0.14344459452598618	0.19394875197311778	0.16583451490113213	0.1769659782633323	0.1480905391414694	0.18634085489919938	0.17014615461223925	0.15317738667816658	0.1403567965662289	0.17117080219748548	0.14873993066880475	0.16316607736037814	0.1451088054995474	0.14789521495315772	0.1429234961907691	0.16156193654453324	0.1587828321494803	0.1512616976516335	0.16016112993262774	0.18609270979191211	0.16388522263454106	0.15155360363983292	0.14710626811053337	0.15670397835634917	0.17116572038059297	0.15269469157628984	0.17031586150261638	0.13090991667623447	0.154607979402614	0.14014367263457794	0.20517691275212793	0.14529254327502708	0.14752214780566353	0.15281859122000702	0.19949614359385076	0.13480548071151188	0.14319178963074874	0.23832736065654542	0.15488929544926316	0.15961221883785215	0.15216802143467878	0.1790408517019828	0.15440238808293608	0.144644161025134	0.14005297583520593	0.13550871037970452	0.13869669163377452	0.1382615185684143	0.16953872060658853	0.2345256438016034	0.13778069388657488	0.15862147982917366	0.13562618683208189	0.14912729744418135	0.13535816873675313	0.16042987416195803	0.14784823187808693	0.14697795130468086	0.14813622038606816	0.18493720136542496	0.14903452633874775	0.15912793411774134	0.1653776504519822	0.15494755029197133	0.15314354244312559
,	0.6331082588564729	0.662089678772105	0.961016554959962	0.6612503012400569		0.6824074828574848	0.6153522986623917	0.6375031073122378	0.6001523806182814	0.6337614324553609	0.8056076119231005	0.9783043119148191	1.0193819674063191	0.8425105108598383	0.8245200734547802	0.7305148023954973	0.6095028195997683	0.6139436446357326	0.705360531707221	0.6637883711619605	0.609681095102739	0.6462251842442257	0.658562003727483	0.6525449232727478	0.6616575885200834	0.6616046325648046	0.6198871648589352	0.6267104286343987	0.6083019548752244	0.60157879963097	0.6178925477082999	0.6652086382500341	0.612763547430031	0.6886591642486419	0.5986780984861214	0.5912666072226253	0.6233282989072368	0.8077506271242296	0.7016449030754	0.6193584733698445	0.6806648924534182	0.6275665927974208	0.6164301295026863	0.6383409393765955	0.6277330334664388	0.6815372074979753	0.6493529040810799	0.5993173465355102	0.6035533904733983	0.6321925549077507	0.6098507211463012	0.6180214043587293	0.6029136910513133	0.6319675284607766	0.6201973224011532	0.6047014571210478	0.6003349116340483	0.6187707457868501	0.6059886770557424	0.6116710710261717	0.602909955835595	0.6000588736600743	0.6032160188644922	0.6099114158747045	0.6356163059031461	0.6041543587638386	0.604384130570227	0.618182172163845	0.6380014473115518	0.6047754637111742	0.629399431341108	0.5978724161291273	0.6048844624650733	0.6072887658311	0.630670887325087	0.6107717217288566	0.601881709471964	0.6002541182950407	0.6245346951903001	0.602615597282556	0.6080983240571136	0.6064052619303906	0.6441495200520087	0.5881807929119189	0.6017314174475892	0.6604243462691972	0.6042461746113384	0.6418707373592036	0.6308435073287372	0.6181347959986323	0.6032556915232357	0.6328832379857177	0.6266445876863753	0.5998819559896489	0.5973777002323701	0.588450046211912	0.6401343303788382	0.6866602395046484	0.6206862638948138	0.6049948548134122	0.6075455789761155	0.6194661799769322	0.5904063359956171	0.6174381649989802	0.6074267859847449	0.6072272911188699	0.6052554617557029	0.6215535134788666	0.6053262520831155	0.6076260434981278	0.6092744755036422	0.6078576265070919	0.5992602666772147
i	0.2095731710599536	0.2515887602584912	0.4296201737280076	0.27125858000113756	0.6824074828574848		0.19217225451507278	0.2355117703272066	0.17141941921988518	0.187776537945218	0.4168247613003315	0.7245925550881835	0.6018790526730103	0.4741883291026835	0.4481932401913663	0.3014823318051065	0.19596804316952782	0.2243798191887673	0.30504667335818403	0.2596379107276009	0.22171157184644766	0.21094533358833167	0.2965851066753274	0.25652032358767085	0.252547972884616	0.2523545746309503	0.20807480361031605	0.224097512533944	0.20463229492963442	0.1802768251974649	0.20512270345678507	0.2640096867433101	0.1991247329191472	0.2892773401219392	0.19695726271538394	0.16936361603645078	0.17509462173448848	0.30161172990884677	0.33079418230983315	0.18340630339344438	0.2671468219620395	0.21674833659903003	0.2214615203291188	0.2294523564953056	0.22595994391309415	0.278058021190272	0.1764072676275071	0.17783095225544077	0.1744774338521635	0.21461562538113033	0.22106601505203083	0.20443776908912384	0.17645665781454561	0.2152077052747578	0.2085897574127744	0.2023701103919572	0.18622691077481873	0.2127959690590241	0.19294283911267812	0.1992816955366889	0.17621797965621797	0.190051094333274	0.173860108711694	0.1842887712440815	0.20204514832943166	0.1930390458837399	0.1863910276021568	0.21648502987042043	0.1942701418865463	0.18523228321816831	0.180550338103582	0.1860963268618448	0.19169944969216118	0.1886609711232515	0.20541861742297135	0.16301873911565334	0.18464422916030426	0.17461556713015003	0.2937761309975377	0.17889316754983747	0.176219460857363	0.18633705052645763	0.22166185029257202	0.17248719477862365	0.17759355085547007	0.2535788030879994	0.18339712017771545	0.19204774502132121	0.19939411094850895	0.24992895889993325	0.1786446404604371	0.18400267977992257	0.1734283091748084	0.17226906221658495	0.1726859872377554	0.17208934928023412	0.1982950449817557	0.26903946610439256	0.1717185649019582	0.19918828683617812	0.17247857361151436	0.17828386531654963	0.17510549132186579	0.19690716155372054	0.17316761366726527	0.18446698863535368	0.18252582430866027	0.21998241204893254	0.18516606700216937	0.1852890878534291	0.1854380576986987	0.18933436210273885	0.19733193495353107
much	0.0992505927021122	0.152611683376877	0.3752535024038608	0.17072045204872757	0.6153522986623917	0.19217225451507278		0.13178976390907643	0.07046926144160867	0.07652579597028777	0.33741373582188844	0.6334288401636771	0.5709138295699444	0.37165874423960665	0.35590981096099167	0.21458862806307746	0.08593753175392403	0.0976097919735208	0.21472246915128718	0.14642485184412482	0.11654901037902896	0.11954738403275456	0.1523146463237434	0.14052734037088832	0.15321774679228403	0.15792020225539286	0.09819170222064857	0.11557497841218442	0.08575259429742069	0.07780613112837599	0.09509278928993506	0.14692868962788252	0.09118103264615891	0.20259433167919835	0.08588496831082718	0.07086884376646972	0.07784228007280025	0.21493669147198485	0.2271560456223197	0.08417962703534607	0.17796356367986865	0.12336048706665505	0.103043357823041	0.12332823916040929	0.11923565572432884	0.1771201166336377	0.07611159891032843	0.07645926775382265	0.07448629178423077	0.1004033381146843	0.10387839038813027	0.11093066253111619	0.07720604072973374	0.10980832640964483	0.09411821960347573	0.0782153850006074	0.07424990169920555	0.10828371641861549	0.07790929925974255	0.09245416498270659	0.07409877863421534	0.08434904537078348	0.0694106667249246	0.0750125928803013	0.08361447919403592	0.08548420257374685	0.08892834495391629	0.11314551806091508	0.10155667490947354	0.07330591938545394	0.08188330328703564	0.07489628030032873	0.07576984963283356	0.07749426381648447	0.08918159845925357	0.06244060857986087	0.08781359795795929	0.07547139206442431	0.12598178407282912	0.08235702888892124	0.07479410083410276	0.08454077039202695	0.12585881311465627	0.06303321622647974	0.07807185996092325	0.16693340061832412	0.07984883396359266	0.08948449795201643	0.0838752045942677	0.09962405824316704	0.07083243421873317	0.0809595353150506	0.07811113946998435	0.06512041619451028	0.08290916411208528	0.07354892963238316	0.10247824702520306	0.16564550541032982	0.07198157467695138	0.07392091316190279	0.07032217806552457	0.07032828974435232	0.06775078821084587	0.09975055124844893	0.07708674955165179	0.07455738526273403	0.0868833893121634	0.1183538836256739	0.08395584395857533	0.07221767539014512	0.0842515983657526	0.09442859575441517	0.08421352184280703
with	0.14382195078990892	0.20117954451872178	0.40142771827476975	0.21335222398407902	0.6375031073122378	0.2355117703272066	0.13178976390907643		0.10932097551997955	0.11363659515476927	0.39245748849952816	0.6604173440065677	0.6093667474623345	0.4137657215322421	0.39642571346778993	0.26162174125863824	0.12427714072229809	0.13647139470850378	0.24646134911656556	0.18189928061842384	0.1566465777931032	0.15363967275654186	0.19351344864010572	0.18237511693539918	0.1855731787635089	0.20411346371511252	0.1379839891625983	0.15218578227693347	0.12501719158555785	0.11666872483114585	0.13865029720797428	0.18208469441978115	0.1295947647457364	0.2209962929143709	0.12509352542724278	0.10444585103547338	0.1103690178471608	0.2487357083643898	0.2598654190302877	0.12310025510311769	0.22430590416885915	0.15632488534075295	0.13651959648455378	0.16455145972239327	0.15672365572952537	0.21366970279776587	0.11251211142059325	0.1179834055729523	0.11218693747254153	0.1463591040700316	0.1434665196294405	0.1415784888643713	0.11377788203074038	0.16009041010670633	0.13132510773808048	0.11833758908435311	0.11034546620148401	0.14473712074213124	0.12020482572823837	0.130794942086535	0.11403067735838565	0.11956581306950785	0.10741136444566277	0.11696640552706823	0.12212190008490258	0.1303972317155484	0.12526644954972416	0.14997660277766292	0.1336939428942494	0.11813525095786992	0.11632031320337632	0.11784646884922743	0.12207099858159226	0.11989709594845527	0.13089815483928266	0.10101194149346544	0.12494376301784671	0.11133191505876086	0.16671879067980525	0.11562118532613291	0.11369797765891612	0.12068828054868308	0.16423996488640438	0.10060845687116612	0.11367213246046047	0.2036821021012607	0.12391961113422068	0.12772522465548708	0.12335902039103716	0.13896220242483803	0.11174041122912609	0.11473771176105318	0.11041551747136277	0.10238119731177839	0.10871828438814926	0.10920812435727068	0.132423378529107	0.2028441858178086	0.10941125307278204	0.11708679946813824	0.10743832341377502	0.11010493198116172	0.10566921410055766	0.13193747095335165	0.11652228510366656	0.10884169431879206	0.11879398035770339	0.15721496516649947	0.11863020176381649	0.11543275344381043	0.12928431664933757	0.1265121318982416	0.12467779617341579
certain	0.07761495905698408	0.1263024640233349	0.34935683232761827	0.13785335594192782	0.6001523806182814	0.17141941921988518	0.07046926144160867	0.10932097551997955		0.05703670621053767	0.2980546807655604	0.7031712159260297	0.5230183322933379	0.33619715588642907	0.3313207868492121	0.19046261715212387	0.07373737384530013	0.07392778099456465	0.19967098486947693	0.1357061201031987	0.10376243991834785	0.10130861459014956	0.1295701052527422	0.11911318141279274	0.13310536957805683	0.13654867100345686	0.08593982090878757	0.10564123352373565	0.07002314998542616	0.061598080247975445	0.07734516658675152	0.1307115521180287	0.0677650797055481	0.16981542071325872	0.06911055989639897	0.0464637931052147	0.05350853739939953	0.19416414012494776	0.2227054873929246	0.06198768520907909	0.1545384935309372	0.10579779978024285	0.07807780814034118	0.10113881075358863	0.09840368686121859	0.1551450083556325	0.0543942810749706	0.05540407582369857	0.05426268511618761	0.07983383090470833	0.08656790698884352	0.08347601700134208	0.053724893230812816	0.08667618326519168	0.07108050238254032	0.05612160963384505	0.05008914104078432	0.09639921106335383	0.056942882614591	0.06965365327929571	0.05206067611043701	0.06694733824781873	0.04888808414154333	0.05211885239339126	0.061239017416769986	0.07586002229769764	0.06498471989837717	0.10121956302441618	0.08859132466822663	0.0560784486923341	0.060818344105296414	0.05077292271511799	0.05339350841715902	0.05622017769848401	0.06978995891881362	0.045703604362654866	0.0674794018930876	0.05911669772252386	0.10269481721327792	0.057559946783160974	0.05531180384879153	0.06902276508739258	0.10675217294389534	0.04197802429635566	0.06524724438049281	0.1375698629489326	0.059289277717446465	0.0712038859482556	0.06477156658426705	0.07697335807199848	0.05507200082158832	0.057441541913733574	0.05153404208980901	0.04393570770589526	0.05177986482227297	0.05689704450324977	0.07508401021090963	0.14529959573579565	0.05215473397459924	0.052226447756037256	0.049266986135400495	0.04879310407676171	0.04936629365515212	0.08330630690953977	0.06116547394788558	0.04860772540984689	0.06825925665044857	0.100633099272639	0.06265459278939028	0.04980299807440889	0.06143309910284489	0.073040401628591	0.06370918838421666
facts	0.08371433300489256	0.137073273848933	0.36181802104625427	0.149576246547364	0.6337614324553609	0.187776537945218	0.07652579597028777	0.11363659515476927	0.05703670621053767		0.3190165196087138	0.656928720844548	0.5541720000280204	0.3342729857000271	0.34260827316463155	0.19911292372613904	0.07328149231560394	0.0792685527592763	0.1997235585441401	0.13350210855277508	0.09843315277527197	0.1175659773093907	0.13802063590459623	0.1271099024215925	0.13676209509242207	0.14311549150268937	0.08851110493615148	0.10881603812526208	0.0739619807077465	0.06441159815950759	0.08003414194157984	0.12812502379381915	0.07332346817580929	0.1771586911478707	0.06946380245414237	0.05859024214670849	0.06023453168536028	0.21138813627697678	0.21779207427266573	0.06742641702366463	0.1577982274617865	0.12441924434448945	0.08499104547079439	0.10583340029860726	0.10383955502869098	0.16243109550471468	0.06249835710412466	0.06558416119349594	0.057746761794315676	0.08490196328459065	0.08872640844299964	0.09150117557419886	0.05845802245204702	0.09489713408314068	0.07737528621363796	0.0612653269119821	0.05753998101809057	0.09694828136283815	0.06217185965070729	0.07641449142634188	0.05955097558693739	0.07637749266622693	0.06079242738227208	0.060655224771639774	0.0667808909833828	0.07823775021972314	0.06849698183863392	0.09752459607129277	0.09239093577900954	0.06031935414881349	0.07102030649247901	0.05735488644785091	0.05965336811748283	0.06175682420744922	0.07383307055654405	0.05836854316686274	0.08339500247005986	0.06636722827106903	0.11089050730812258	0.0647254691804796	0.0614621179419542	0.0688033307829917	0.11090977927490467	0.05719268911536439	0.06566894319259554	0.14190303373420804	0.0665868461038863	0.08591667956039581	0.07969947013921436	0.08424529240072282	0.054812131886467885	0.06463588119671189	0.060465213252307054	0.0542915130832891	0.06073722845923531	0.07018209603756101	0.07832232235238548	0.1508721437290116	0.06550080124555	0.05870466387440059	0.06139190475839394	0.059600918514537485	0.05427181289125104	0.08079701158577124	0.061983232319347915	0.05670369147266985	0.06665518901394424	0.10608189682435801	0.07141947092647896	0.05512075039549773	0.06826929205734557	0.07901641100523848	0.07853130513311533
